Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
124,Ross Stripling,31,TOR,AL,5,7,0.417,4.8,24,19,1,0,0,0,101.1,99,55,54,23,30,0,94,2,0,0,431,93,5.21,1.273,8.8,2,2.7,8.3,3.13
125,Alex Cobb,33,LAA,AL,8,3,0.727,3.76,18,18,0,0,0,0,93.1,85,46,39,5,33,0,98,3,0,4,393,118,2.92,1.264,8.2,0.5,3.2,9.5,2.97
126,Zach Eflin,27,PHI,NL,4,7,0.364,4.17,18,18,0,0,0,0,105.2,116,52,49,15,16,2,99,3,0,2,442,100,3.68,1.249,9.9,1.3,1.4,8.4,6.19
127,Domingo German,28,NYY,AL,4,5,0.444,4.58,22,18,0,0,0,0,98.1,89,52,50,17,27,0,98,2,1,3,410,94,4.31,1.18,8.1,1.6,2.5,9,3.63
128,Chi Chi Gonzalez,29,COL,NL,3,7,0.3,6.46,24,18,1,0,0,0,101.2,127,74,73,18,28,0,56,6,0,2,448,72,5.37,1.525,11.2,1.6,2.5,5,2
129,Jesus Luzardo*,23,TOT,MLB,6,9,0.4,6.61,25,18,1,0,0,0,95.1,106,73,70,20,48,1,98,4,0,8,437,63,5.48,1.615,10,1.9,4.5,9.3,2.04
130,Matt Manning,23,DET,AL,4,7,0.364,5.8,18,18,0,0,0,0,85.1,96,59,55,10,33,0,57,3,0,1,385,75,4.62,1.512,10.1,1.1,3.5,6,1.73
131,Tylor Megill,25,NYM,NL,4,6,0.4,4.52,18,18,0,1,0,0,89.2,88,46,45,19,27,0,99,2,0,1,379,90,4.69,1.283,8.8,1.9,2.7,9.9,3.67
132,Eli Morgan,25,CLE,AL,5,7,0.417,5.34,18,18,0,0,0,0,89.1,90,54,53,20,22,0,81,4,1,0,379,81,5.14,1.254,9.1,2,2.2,8.2,3.68
133,Wily Peralta,32,DET,AL,4,5,0.444,3.07,19,18,0,0,0,0,93.2,87,41,32,12,38,0,58,4,0,1,402,141,4.94,1.335,8.4,1.2,3.7,5.6,1.53
134,Jose Urena,29,DET,AL,4,8,0.333,5.81,26,18,1,0,0,0,100.2,119,70,65,14,42,0,67,4,0,4,456,75,5.02,1.599,10.6,1.3,3.8,6,1.6
135,Ryan Weathers*,21,SDP,NL,4,7,0.364,5.32,30,18,1,0,0,1,94.2,101,57,56,20,30,1,72,3,1,2,401,73,5.44,1.384,9.6,1.9,2.9,6.8,2.4
136,Keegan Akin*,26,BAL,AL,2,10,0.167,6.63,24,17,1,0,0,0,95,110,70,70,17,40,1,82,2,1,5,427,69,5.1,1.579,10.4,1.6,3.8,7.8,2.05
137,Kolby Allard*,23,TEX,AL,3,12,0.2,5.41,32,17,3,0,0,0,124.2,128,80,75,29,31,0,104,4,0,4,534,81,5.37,1.275,9.2,2.1,2.2,7.5,3.35
138,Trevor Bauer,30,LAD,NL,8,5,0.615,2.59,17,17,0,1,0,0,107.2,71,36,31,19,37,1,137,3,0,3,432,158,4.03,1.003,5.9,1.6,3.1,11.5,3.7
139,Huascar Ynoa,23,ATL,NL,4,6,0.4,4.05,18,17,0,0,0,0,91,76,42,41,14,25,1,100,4,0,4,372,109,3.93,1.11,7.5,1.4,2.5,9.9,4
140,Shane Bieber,26,CLE,AL,7,4,0.636,3.17,16,16,0,0,0,0,96.2,84,36,34,11,33,0,134,4,0,5,405,137,3.03,1.21,7.8,1,3.1,12.5,4.06
